WOR-0001;Dynamic stretching routines;20 minutes;Flexibility;Moderate;Routines for active flexibility using dynamic movements;EXE-0011;EXE-0022;EXE-0030
WOR-0002;Static stretches;20 minutes;Flexibility;Moderate;Stretches targeting deep muscle groups for improved flexibility;EXE-0003;EXE-0017
WOR-0003;PNF stretching;20 minutes;Flexibility;Moderate;Enhanced flexibility gains through proprioceptive neuromuscular facilitation techniques;EXE-0018;EXE-0024
WOR-0004;Full-body strength and cardio circuits;20 minutes;Strength & Cardio;High;Combines strength training and cardio in a high-energy format;EXE-0005;EXE-0006;EXE-0025
WOR-0005;High-intensity interval training components;15 minutes;Strength & Cardio;High;Short bursts of high-intensity exercises with minimal rest;EXE-0008;EXE-0015
WOR-0006;Minimal equipment needed for home workouts;10 minutes;Strength & Cardio;High;Effective exercises requiring little to no equipment, suitable for home workouts;EXE-0001;EXE-0004;EXE-0012
WOR-0007;Simulated climbs;15 minutes;Cardio;Moderate;Cycling exercises that mimic outdoor climbs to build strength;EXE-0014;EXE-0026
WOR-0008;Sprints;10 minutes;Cardio;High;Short bursts of intense cycling for endurance and speed;EXE-0013;EXE-0031
WOR-0009;High-energy, music-driven classes;20 minutes;Cardio;Moderate;Classes driven by music and coaching to enhance cardiovascular health;EXE-0007;EXE-0027
WOR-0010;Detailed instructions on the snatch;30 minutes;Strength;High;Detailed coaching on mastering the snatch technique;EXE-0009;EXE-0010;EXE-0016
WOR-0011;Accessory exercises to build strength;30 minutes;Strength;High;Exercises designed to build strength and mobility in support of Olympic lifts;EXE-0015;EXE-0020;EXE-0033
WOR-0012;Technique-focused sessions;30 minutes;Strength;High;Focused sessions on clean and jerk techniques for strength improvement;EXE-0002;EXE-0022
WOR-0013;Body weight circuits;20 minutes;Functional Fitness;Variable;Circuits that utilize body weight for strength and endurance;EXE-0011;EXE-0030
WOR-0014;Hill sprints;15 minutes;Functional Fitness;High;Intense sprinting on hills for improved cardiovascular fitness;EXE-0012;EXE-0029
WOR-0015;Functional strength exercises;25 minutes;Functional Fitness;Variable;Exercises using natural outdoor elements for strength building;EXE-0014;EXE-0019;EXE-0035
WOR-0016;Strength and cardio exercises for adolescents;20 minutes;Youth Fitness;Low-Moderate;Safe, age-appropriate strength-building exercises for adolescents;EXE-0003;EXE-0023
WOR-0017;Emphasis on body weight movements;15 minutes;Youth Fitness;Moderate;Engaging cardio routines suitable for younger participants;EXE-0005;EXE-0021
WOR-0018;Conditioning and flexibility routines;10 minutes;Youth Fitness;Moderate;Activities aimed at improving overall fitness and flexibility;EXE-0010;EXE-0024;EXE-0032
WOR-0019;Low-impact strength and balance exercises;30 minutes;Senior Fitness;Low;Gentle strength exercises designed for older adults to enhance mobility;EXE-0006;EXE-0018;EXE-0028
WOR-0020;Flexibility and mobility routines;15 minutes;Senior Fitness;Low;Mobility exercises focused on joint health for seniors;EXE-0017;EXE-0034
